"Model","BF10","BF01"
"condition",0.105407826121696,9.48696161180175
"gender",2.46895684802144,0.405029355130842
"condition + gender",0.263629375361606,3.79320399567899
"condition + gender + condition:gender",0.0405513990071413,24.660061662087
"Par_ID",2255857891348.16,0.000000000000443290334836817
"condition + Par_ID",503485005106.641,0.00000000000198615646912502
"gender + Par_ID",2051333723832.07,0.000000000000487487720004871
"condition + gender + Par_ID",456156473995.877,0.00000000000219223020390376
"condition + gender + condition:gender + Par_ID",97896665818.3601,0.0000000000102148524838979
